UserName,CharacterName,Health,Score,Status,Time
a,Knight 2,20,8,Not Completed,10/01/2024 20:47:56
a,Knight 2,20,8,Not Completed,10/01/2024 21:04:26
a,Knight 2,10,20,Completed,11/01/2024 16:34:30
a,Knight 2,10,20,Completed,11/01/2024 16:36:22
a,Knight 2,10,20,Completed,11/01/2024 16:38:40
shreyas Mahadev,Knight 2,10,9,Not Completed,11/01/2024 16:53:44
shreyas Mahadev,Knight 2,10,9,Not Completed,11/01/2024 16:56:37
shreyas Mahadev,Knight 2,10,9,Not Completed,11/01/2024 16:59:32
shreyas Mahadev,Knight 2,10,9,Not Completed,11/01/2024 17:00:47
shreyas Mahadev,Knight 2,10,10,Not Completed,11/01/2024 17:02:12
a,Knight 2,10,20,Completed,11/01/2024 17:05:51
shreyas Mahadev,Knight 2,10,20,Completed,11/01/2024 17:10:13
